epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.387,1.76104,2.65315,1.56739,0.59389,0.80011,0.63255,0.30578,1.72492,1.99942,1.39586,0.000466807,0.000466807,0.000466807
2,198.056,1.11276,1.17424,1.16856,0.85071,0.80499,0.93669,0.61667,1.13017,0.95333,1.19986,0.000880893,0.000880893,0.000880893
3,294.83,1.03914,0.92537,1.13225,0.99039,0.98927,0.99452,0.74359,0.90008,0.64805,1.05929,0.0012321,0.0012321,0.0012321
4,404.066,0.94106,0.80742,1.08944,0.99695,1,0.995,0.69279,1.16785,0.69551,1.19635,0.00114606,0.00114606,0.00114606
5,514.464,0.94925,0.7651,1.08987,0.99764,0.99896,0.99494,0.72528,1.05198,0.62123,1.13143,0.00105174,0.00105174,0.00105174
6,621.202,0.73627,0.63829,0.98103,0.99945,1,0.995,0.80681,0.77489,0.5292,1.00298,0.00095743,0.00095743,0.00095743
7,728.896,0.69437,0.56564,0.95175,0.99882,0.99795,0.995,0.80017,0.74142,0.48443,0.99628,0.000863116,0.000863116,0.000863116
8,836.788,0.61855,0.5231,0.93017,0.99957,1,0.995,0.8604,0.60422,0.41484,0.93228,0.000768802,0.000768802,0.000768802
9,944.584,0.58944,0.49517,0.91352,0.99944,1,0.995,0.89464,0.48964,0.38853,0.88965,0.000674488,0.000674488,0.000674488
10,1050.47,0.53539,0.45937,0.89549,0.99977,1,0.995,0.89982,0.47807,0.37735,0.8845,0.000580174,0.000580174,0.000580174
11,1156.21,0.50123,0.44673,0.88557,0.99969,1,0.995,0.90555,0.45992,0.343,0.87453,0.00048586,0.00048586,0.00048586
12,1263.68,0.47834,0.42473,0.87713,0.9996,1,0.995,0.91193,0.4486,0.3356,0.87071,0.000391546,0.000391546,0.000391546
13,1370.66,0.48438,0.41795,0.87666,0.99971,1,0.995,0.92557,0.42181,0.31223,0.86203,0.000297232,0.000297232,0.000297232
14,1475.93,0.44929,0.39821,0.86368,0.99969,1,0.995,0.93302,0.39965,0.30557,0.8579,0.000202918,0.000202918,0.000202918
15,1583.17,0.40962,0.37698,0.85457,0.99976,1,0.995,0.94936,0.3599,0.28736,0.84749,0.000108604,0.000108604,0.000108604
